Campidanese	Campidanese	probability
β	β	1.0
ˈi_n	ˈi_n	1.0
ˈa_i	ˈa_ɾ	1.0
ʧ	-	1.0
ʒ	θ	1.0
ɾ_j	ɾ	1.0
ɾ_i	ɾ	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɭː	x	1.0
ɔ̆_#>	#>	1.0
ɔ_l	o_l	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z_ˈa	s_ˈo	1.0
z_ŭ_#>	#>	1.0
z	s	1.0
w	w	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	t	1.0
t_i	t_e	1.0
t_a	t_a	1.0
p_ˈo	p_o	1.0
n_ʤ	ɲ	1.0
n_i_#>	n_#>	1.0
m	m	1.0
l_u	l_o	1.0
l	l	1.0
k_ɾ	ɟ͡ʝ	1.0
j	j	1.0
ĭ_#>	#>	1.0
i_n	b_ɾ	1.0
f_ˈi	ˈi	1.0
e	-	1.0
ă	-	1.0
<#_ʧ	<#_θ	1.0
<#_ʤ	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_f	<#	1.0
<#_a	<#	1.0
#>	a_#>	1.0
k	k	0.95
b	b	0.938
n	n	0.921
a	a	0.92
d	d	0.857
p	p	0.833
ˈa	ˈa	0.812
i_#>	#>	0.812
u	o	0.806
ɡ	ɡ	0.8
ð	ð	0.778
r	r	0.769
ɾ	ɾ	0.756
ʤ	-	0.75
s	s	0.725
f	f	0.714
<#_ˈa	<#_ˈa	0.714
ɖː	ʝ	0.7
ɣ	ɣ	0.647
ˈo	w_ˈe	0.636
t	t	0.6
o	o	0.6
nː	-	0.6
ˈu	ˈu	0.543
ʦ	θ	0.5
ʦ	-	0.5
ʃ	θ	0.5
ʃ	-	0.5
ˈi	ˈi	0.472
ˈi	ˈe	0.472
ˈɔ	ˈo	0.467
ˈe	ˈe	0.467
ɛ	-	0.429
ˈɛ	j_ˈe	0.419
ˈɔ	w_ˈe	0.4
ˈe	j_ˈe	0.4
o	-	0.4
nː	ɲ	0.4
i	e	0.365
ˈo	ˈo	0.364
ˈɛ	ˈe	0.355
ˈu	ˈo	0.343
ɖː	l	0.3
ɛ	β	0.286
ɛ	e	0.286
f	e	0.286
<#_ˈa	<#_a	0.286
t	ʧ	0.28
ʤ	ɟ͡ʝ	0.25
ɣ	x	0.235
r	ɾ_n	0.231
ð	-	0.222
ɡ	-	0.2
i_#>	j_#>	0.188
ɾ	-	0.178
s	e_s	0.175
d	ð	0.143
ˈe	ˈi	0.133
t	ð	0.12
ɣ	-	0.118
i	ˈe	0.115
i	i	0.115
ˈu	w	0.114
ˈa	ˈe	0.104
s	-	0.1
p	ɟ͡ʝ	0.1
ˈɛ	j	0.097
n	-	0.079
i	β_e	0.077
i	l	0.077
ˈɔ	o	0.067
ˈɔ	-	0.067
ɾ	o	0.067
p	-	0.067
ˈɛ	e_n	0.065
ˈɛ	-	0.065
b	-	0.062
i	ˈi	0.058
i	ɾ	0.058
i	-	0.058
ˈi	β_ˈe	0.056
a	e	0.053
