Ripuarian	English	probability
b	b	0.988
b	tʰ	0.032
d	d	0.503
d	θ	0.285
d	ð	0.204
f	f	0.868
f	p	0.083
f	pʰ	0.041
f_ə	p	1.0
h	h	1.0
j	ɡ	0.56
j	j	0.339
j	-	0.088
k	d	0.256
k	kʰ	0.21
k	k	0.161
k	-	0.144
k	ʤ	0.085
k_ə	k	1.0
l	l	0.54
l	ɫ	0.381
l	-	0.052
l	ˈəʊ̯	0.03
l_ə	ɫ	1.0
m	m	0.896
m	-	0.081
n	n	0.8
n	-	0.169
n	v	0.032
p	p	0.538
p	d	0.457
s	s	0.538
s	t	0.334
s	z	0.069
s	-	0.053
s_ə	t	1.0
t	d	0.521
t	t	0.293
t	θ	0.14
t	-	0.044
v	v	0.85
v	w	0.125
x	-	0.369
x	t	0.273
x	f	0.133
x	k	0.096
x	ʧ	0.093
z	s	0.95
z	z	0.053
ŋ	ŋ	0.488
ŋ	n	0.433
ŋ	-	0.067
ŋ_ə	ŋ	1.0
ɐ	ə	0.814
ɐ	-	0.074
ɐ	ˈɔː	0.069
ɐ	əʊ̯	0.036
ɐ_m	m	1.0
ɕ	-	0.48
ɕ	t	0.31
ɕ	k	0.089
ɕ	ʧ	0.089
ə	-	0.829
ə	ə	0.115
ə	əʊ̯	0.055
ə_f	v	1.0
ə_l	ɫ	1.0
ə_ɕ	ɪ	0.489
ɣ	-	1.0
ɪ	ɪ	0.371
ɪ	-	0.181
ʀ	ɹ	0.861
ʀ	-	0.08
ʀ	z	0.053
ʃ	s	0.562
ʃ	ʃ	0.433
ʋ	w	0.898
ʋ	-	0.063
ʋ	ˈɔː	0.045
ʦ	tʰ	0.624
ʦ	t	0.365
ˈa	ˈæ	0.277
ˈa	ˈɑː	0.124
ˈa	ˈəʊ̯	0.124
ˈa	ˈɒ	0.117
ˈa	ˈɔː	0.108
ˈaʊ̯	ˈiː	0.354
ˈaʊ̯	ˈe	0.268
ˈaʊ̯	ˈaʊ̯	0.248
ˈaː	ˈeɪ̯	0.415
ˈaː	ˈɑː	0.236
ˈaː	ˈaɪ̯	0.118
ˈaː	ˈɛ	0.076
ˈaː	ˈɔː	0.06
ˈe	ˈɪ	0.883
ˈe	ˈaɪ̯	0.104
ˈeɪ̯	ˈiː	0.922
ˈeɪ̯	ˈe	0.046
ˈeː	ˈiː	0.274
ˈeː	ˈaɪ̯	0.183
ˈeː	ˈɪ	0.167
ˈeː	ˈe	0.112
ˈeː	ˈəʊ̯	0.105
ˈiː	ˈaɪ̯	0.302
ˈiː	ˈiː	0.246
ˈiː	ˈɪ	0.13
ˈiː	ˈəʊ̯	0.114
ˈiː	-	0.099
ˈo	ˈɐ	0.496
ˈo	ˈe	0.179
ˈo	ˈəʊ̯	0.179
ˈo	ˈaʊ̯	0.121
ˈoː	ˈiː	0.222
ˈoː	ˈɐ	0.144
ˈoː	ˈʊ	0.093
ˈoː	ˈaʊ̯	0.091
ˈoː	ˈuː	0.079
ˈu	ˈɒ	0.274
ˈu	ˈɐ	0.239
ˈu	ˈaʊ̯	0.134
ˈuː	ˈaʊ̯	0.378
ˈuː	ˈe	0.23
ˈuː	ˈaɪ̯	0.195
ˈuː	ˈɪ	0.112
ˈuː	ˈeɪ̯	0.062
ˈyː	ˈaɪ̯	0.336
ˈyː	ˈaʊ̯	0.222
ˈyː	ˈɪ	0.205
ˈyː	ˈiː	0.091
ˈøː	ˈiː	0.836
ˈøː	ˈɪ	0.163
ˈœ	ˈɪ	0.646
ˈœ	ˈaɪ̯	0.114
ˈœ	ˈe	0.1
ˈɔ	ˈɔː	0.213
ˈɔ	ˈʊ	0.175
ˈɔ	ˈɒ	0.149
ˈɔ	ˈe	0.098
ˈɔ	ˈɐ	0.098
ˈɔʏ̯	j	0.489
ˈɛ	ˈe	0.342
ˈɛ	ˈɪ	0.317
ˈɛ	ˈaɪ̯	0.072
ˈɛ	ˈæ	0.072
ˈɛ	ˈɑː	0.071
ˈɛː	ˈeɪ̯	0.316
ˈɛː	ˈe	0.124
ˈɛː	ˈɛ	0.094
ˈɛː	ˈaɪ̯	0.087
ˈɛː	ˈæ	0.073
ˈɛː_ɐ	ˈɑː	1.0
ˈɪ	ˈɪ	0.397
ˈɪ	ˈaɪ̯	0.362
ˈɪ	ˈe	0.121
ˈɪ	ˈiː	0.083
ˈʊ	ˈɐ	0.281
ˈʊ	ˈɜː	0.281
ˈʏ	ˈaɪ̯	0.281
ˈʏ	ˈəʊ̯	0.281
ˈʏ_n	ˈɪ	1.0
