Ripuarian	English	probability
b	b	1.0
h	h	1.0
v	v	1.0
v̥	f	1.0
z	s	1.0
ɣ	-	1.0
ˈo	ˈɐ	1.0
ˈu	ˈɐ	1.0
ˈøː	ˈiː	1.0
ˈœ	ˈɪ	1.0
ˈʊ	ˈɐ	1.0
ˈʏ	ˈaɪ̯	1.0
k	ʤ	0.191
k	ʧ	0.251
k	kʰ	0.341
s	t	0.601
x	-	0.701
ɐ	ə	0.691
ˈa	ˈɔː	0.051
ˈe	ˈaɪ̯	0.341
ˈeɪ̯	ˈe	0.101
ˈeɪ̯	ˈiː	0.751
ˈiː	ˈəʊ̯	0.31
ˈiː	ˈaɪ̯	0.401
ˈoː	ˈuː	0.051
ˈɪ	ˈaɪ̯	0.461
ŋ	ŋ_ɡ	0.072
ə	ə_n	0.32
ˈoː	ˈaʊ̯	0.122
ˈyː	ˈɪ	0.202
ˈɔ	ˈɐ	0.372
ˈɛː	ˈeɪ̯	0.602
d̥	d	0.633
f	f	0.913
j	-	0.053
l	ɫ	0.403
s	s	0.343
ɕ	t	0.383
ɡ̊	-	0.143
ʦ	tʰ	0.633
ˈa	ˈæ	0.553
ˈeː	ˈəʊ̯	0.103
ˈoː	ˈɐ	0.163
d	θ	0.404
n	-	0.134
p	p	0.74
t	t	0.914
ŋ	ŋ	0.154
ŋ	n	0.634
ɐ	-	0.144
ʀ	-	0.054
ˈaː	ˈeɪ̯	0.404
ˈeː	ˈiː	0.414
ˈiː	ˈɪ	0.064
ˈiː	ˈiː	0.224
ˈoː	ˈɔː	0.134
ˈɔ	ˈɒ	0.24
ˈɛ	ˈe	0.534
m	m	0.975
ɐ	ˈɔː	0.165
ʃ	s	0.45
ʃ	ʃ	0.55
ˈaʊ̯	ˈiː	0.455
ˈaʊ̯	ˈaʊ̯	0.545
ˈoː	ˈʊ	0.105
ˈuː	ˈaʊ̯	0.425
d	d	0.36
n	n	0.866
p	pʰ	0.26
s	z	0.056
t	d	0.086
ʀ	ɹ	0.946
ˈa	ˈɒ	0.156
ˈeː	ˈɪ	0.206
ˈoː	ˈəʊ̯	0.066
ˈɛ	ˈɪ	0.466
d	ð	0.237
d̥	θ	0.367
j	j	0.267
k	k	0.217
ŋ	-	0.117
ɡ̊	d	0.857
ʦ	t	0.367
ˈa	ˈeɪ̯	0.077
ˈaː	ˈɑː	0.497
ˈoː	ˈiː	0.317
ˈuː	ˈe	0.387
l	l	0.588
ɕ	k	0.58
ə	-	0.68
ˈeɪ̯	ˈəʊ̯	0.148
ˈeː	ˈe	0.088
ˈuː	ˈɐ	0.188
ˈyː	ˈaɪ̯	0.798
ˈɔ	ˈʊ	0.388
ˈɛː	ˈiː	0.398
f	p	0.079
j	ɡ	0.679
x	k	0.299
ʋ	w	0.969
ˈa	ˈuː	0.099
ˈaː	ˈaɪ̯	0.099
ˈe	ˈɪ	0.659
ˈeː	ˈaɪ̯	0.19
ˈɪ	ˈɪ	0.539
