French	Romanian	probability
b	b	1.0
p	p	1.0
y	ˈu	1.0
ø	ˈo	1.0
ə	-	1.0
ɡ	ɡ	1.0
d	z	0.491
t	-	0.061
œ	ˈo	0.631
ɔ	u	0.401
ɛ	ˈe	0.211
ʁ	r_ə	0.111
a	i	0.072
a	ˈa	0.282
m	m	0.842
t	t_e	0.202
t	t	0.612
v	p	0.142
ʁ	r_e	0.252
a	e	0.393
e	ˈa	0.183
j	ˈi	0.153
k	s_k	0.143
l	l	0.563
n	-	0.073
o	ˈo	0.173
o	e	0.303
s	-	0.153
v	v	0.623
œ	ˈu	0.183
ɑ̃	n	0.813
ɔ̃	ˈu	0.73
f	-	0.104
o	ˈa_l	0.524
s	ʧ	0.254
w	ˈu	0.24
ʃ	k	0.784
ʒ	ʤ	0.554
d	d	0.45
i	j	0.125
i	e	0.145
i	ˈi	0.635
l	e̯ˈa	0.055
l	r	0.305
s	s	0.325
t	s_t	0.125
u	ˈo_j	0.195
w	ˈe	0.175
w	-	0.585
ɛ	ˈɨ	0.065
ɛ̃	ˈɨ_n	0.335
ɥ	o̯ˈa	0.15
ɥ	-	0.85
a	-	0.136
e	ˈa_r	0.26
f	f	0.896
u	ˈu	0.606
ɔ	o̯ˈa	0.26
ɛ̃	n_e	0.306
ʃ	k_ə	0.216
k	k	0.777
l	-	0.077
v	-	0.167
œ	o̯ˈa	0.187
ɑ̃	ˈɨ_n	0.187
ɔ̃	ˈu_n	0.27
ʁ	e_r_e	0.067
ʒ	-	0.187
e	e	0.228
i	ˈu	0.068
j	j	0.448
m	m_ə	0.158
n	n	0.598
s	ʃ	0.268
v	z	0.068
ɛ	ˈa	0.678
ʁ	-	0.08
d	-	0.059
e	r_e	0.329
j	-	0.399
n	n_ə	0.329
u	u	0.199
ɔ	ˈo	0.339
ɛ̃	ˈi_n	0.359
ʁ	r	0.489
ʒ	ʒ	0.259
