Nynorsk Norwegian	Westphalian	probability
b	b	0.95
b	-	0.05
d	d	0.77
d	-	0.208
e	ə	0.586
e	-	0.324
e	ˈaʊ̯	0.06
f	f	1.0
h	h	0.955
j	-	0.255
j	ˈɪɛ̯	0.247
j	x	0.242
j	h	0.16
j	l	0.063
k	k	0.885
k	-	0.115
kʰ	k	0.828
kʰ	f	0.172
l	l	0.963
lː	l	0.747
lː	ɐ	0.253
m	m	0.944
m	v	0.056
mː	m	1.0
n	n	0.94
n	-	0.06
nː	n	0.952
p	p	1.0
s	s	0.602
s	ʃ	0.365
sː	s	1.0
t	t	0.976
tʰ	d	0.617
tʰ	t	0.307
tʰ	b	0.076
tː	t	1.0
v	w	0.671
v	v	0.329
ŋ	-	1.0
ŋː	ŋ	0.969
ɑ	n	0.713
ɑ	k_n	0.106
ɑ	-	0.101
ɕ	k	0.735
ɕ	d	0.167
ɕ	t	0.098
ɕː	k	0.5
ɕː	t	0.5
ə	ɐ	0.589
ə	-	0.262
ə	m	0.149
ɛ	ɐ	0.57
ɛ	-	0.43
ɡ	x	0.509
ɡ	k	0.121
ɡ	ɡ	0.085
ɡ	ɣ	0.08
ɡ	-	0.077
ɡ	ŋ	0.071
ɡ	ç	0.058
ɡː	ç	0.386
ɡː	ɡ	0.233
ɡː	-	0.19
ɡː	k	0.19
ɪ	n	1.0
ɲ	ŋ	1.0
ɾ	ɐ	0.44
ɾ	r	0.315
ɾ	-	0.166
ɾ	d_ɐ	0.066
ʃ	ʃ	0.757
ʃ	s	0.243
ʉ	-	1.0
ʋ	v	0.461
ʋ	w	0.441
ʋ	-	0.08
ʰkː	ŋ	0.849
ʰkː	k	0.151
ʰpː	p	1.0
ʰtː	x	0.528
ʰtː	ç	0.472
ˈeː	ˈaɪ̯	0.18
ˈeː	ˈiː	0.154
ˈeː	ˈɪɛ̯	0.154
ˈeː	ˈiɛ̯	0.135
ˈeː	ˈɪ	0.118
ˈeː	ˈɪə̯	0.11
ˈeː	ˈaʊ̯	0.078
ˈiː	ˈiː	0.486
ˈiː	ˈɪ	0.272
ˈiː	ˈɪə̯	0.093
ˈiː	ˈiə̯	0.056
ˈiː	ˈaɪ̯	0.053
ˈoː	ˈɔː	0.652
ˈoː	ˈuə̯	0.116
ˈoː	ˈaɪ̯	0.068
ˈoː	ˈɪɛ̯	0.056
ˈuː	ˈoː	0.714
ˈuː	r	0.078
ˈuː	ˈɛ	0.069
ˈuː	ˈɛː	0.061
ˈyː	ˈiː	0.537
ˈyː	ˈaɪ̯	0.341
ˈyː	ˈyː	0.122
ˈæ	ˈɪɛ̯	1.0
ˈæɪ̯	ˈeː	0.681
ˈæɪ̯	ˈɛ	0.186
ˈæɪ̯	ˈɪ	0.133
ˈæʉ̯	ˈaʊ̯	1.0
ˈæːɪ̯	ˈeː	1.0
ˈøː	ˈøː	0.659
ˈøː	ˈɛ	0.159
ˈøː	-	0.134
ˈœ	ˈɛː	0.524
ˈœ	-	0.276
ˈœ	ˈø	0.201
ˈœʏ̯	ˈaɪ̯	0.554
ˈœʏ̯	ˈɔː	0.205
ˈœʏ̯	ˈœː	0.147
ˈœʏ̯	ˈaʊ̯	0.094
ˈɑ	ˈa	0.704
ˈɑ	ˈɔː	0.096
ˈɑ	ˈaː	0.075
ˈɑ	-	0.064
ˈɑː	ˈaː	0.408
ˈɑː	ˈa	0.311
ˈɑː	ˈɪə̯	0.112
ˈɑː	ˈɒː	0.092
ˈɑː	ˈɛː	0.052
ˈɔ	ˈuːə̯	0.427
ˈɔ	ˈa	0.195
ˈɔ	ˈøː	0.103
ˈɔ	ˈiɛ̯	0.091
ˈɔ	ˈɪ	0.091
ˈɔ	ˈɔ	0.06
ˈɛ	ˈɛ	0.431
ˈɛ	ˈa	0.132
ˈɛ	ˈɛː	0.13
ˈɛ	ˈiː	0.081
ˈɛ	ˈyː	0.066
ˈɛ	ˈø	0.053
ˈɛː	ˈɪɛ̯	1.0
ˈɪ	ˈɪ	0.956
ˈʉ	ˈʊ	0.669
ˈʉ	ˈyː	0.091
ˈʉ	w_ˈʊ	0.076
ˈʉ	ˈuː	0.054
ˈʉː	ˈuː	0.372
ˈʉː	ˈaɪ̯	0.342
ˈʉː	ˈʊ	0.096
ˈʉː	ˈuːə̯	0.072
ˈʉː	ˈɪɛ̯	0.054
ˈʉː	ˈaʊ̯	0.053
ˈʊ	ˈœː	0.761
ˈʊ	ˈa	0.239
ˈʏ	ˈʏ	0.358
ˈʏ	ˈɛ	0.222
ˈʏ	ˈɪɛ̯	0.163
ˈʏ	ˈɪ	0.129
ˈʏ	ˈyː	0.082
