Nuorese	Nuorese	probability
β_u	ˈɛ_f	1.0
ˈɔ_j	ˈu	1.0
ˈo_k	ˈɛ	1.0
ʦ	ʦ	1.0
ʣ	ʎ	1.0
ɾ_ˈu	r_ˈɔ	1.0
ɾ_ˈi	r_ˈi	1.0
ɾ_ɛ_#>	r_#>	1.0
ɾ_u	r_ə	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
z_ɛ̆	s	1.0
z_ɔ̆_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_u	j_s	1.0
r	r	1.0
p_ɾ	p_l	1.0
p_ɛ	v	1.0
o_ɾ	r	1.0
o	ɔ	1.0
n_ʣ	j_ɲ	1.0
n_ɛ_#>	#>	1.0
n_a	n_ə	1.0
l	l	1.0
k_ˈa	ʧ_j	1.0
j_u	ə	1.0
j	j	1.0
i_k	ə	1.0
f	f	1.0
d	d	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_ˈo	<#_w	1.0
<#_ˈa	<#_ˈã	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_ʦ	1.0
<#_i	<#	1.0
<#	<#_k	1.0
ɛ_#>	#>	0.9
s	s	0.871
p	p	0.794
m	m	0.783
n	n	0.769
a	ə	0.758
ɾ	r	0.75
ð	-	0.75
t	t	0.75
e	-	0.75
k_ɛ	j_s	0.667
t_a	t_ə	0.625
ɡ	ɡ	0.615
i	-	0.607
k_ɾ	ʎ	0.6
z	-	0.556
β	v	0.545
ɔ	-	0.538
ɣ	ɡ	0.5
ɣ	-	0.5
ŋ	n	0.5
ŋ	-	0.5
n_u	n	0.5
n_u	j_n	0.5
b	v	0.487
ˈu	ˈy	0.444
ɛ	ə	0.444
z	s	0.444
nː	n	0.444
k	k	0.444
b	b	0.436
ˈo	ˈɔ	0.429
k_ɾ	k_l	0.4
k	ʧ	0.389
t_a	ə	0.375
ˈɛ	ˈɛ	0.355
ˈi	ˈi	0.349
ˈe	ˈɛ	0.348
nː	-	0.333
k_ɛ	j	0.333
k_u_#>	k_#>	0.333
k_u_#>	j_#>	0.333
k_u_#>	#>	0.333
ɔ	u	0.308
ˈɔ	ˈũ	0.3
ˈa	ˈa	0.288
ˈo	ˈũ	0.286
β	-	0.273
ˈu	ˈu	0.259
ð	ʤ	0.25
t	-	0.25
i	e	0.25
e	ə	0.25
ˈa	ˈã	0.237
ɡ	ʤ	0.231
n	j_n	0.231
u	ə	0.227
u	-	0.227
ˈɛ	ˈɔ	0.226
nː	n_d	0.222
ˈa	ˈe	0.22
ˈe	ˈẽ	0.217
ˈi	ˈĩ	0.209
ˈɛ	ˈẽ	0.194
β	w	0.182
u	w	0.182
a	a	0.177
ˈe	ˈi	0.174
ˈɔ	ˈɔ	0.167
ˈɔ	w_ˈɛ	0.167
ˈɛ	ˈi	0.161
ɡ	-	0.154
ɔ	ũ	0.154
ˈa	ˈɛ	0.153
ˈu	ˈỹ	0.148
ˈu	ˈũ	0.148
p	-	0.147
ˈo	ˈu	0.143
ˈo	-	0.143
ɛ	j	0.139
u	u	0.136
u	r	0.136
m	ŋ	0.13
ˈi	ˈɔ	0.116
ɛ	-	0.111
i	ə	0.107
ˈɔ	ˈy_j	0.1
ˈɔ	ˈu	0.1
ˈɔ	u	0.1
ɛ_#>	f_#>	0.1
ˈi	ˈɔ_j	0.093
u	l	0.091
ˈe	j_ˈɛ	0.087
ˈe	j	0.087
ˈe	-	0.087
m	-	0.087
ɛ	r	0.083
b	-	0.077
ɾ	l	0.071
ˈi	ˈɛ	0.07
ˈi	ˈe	0.07
ˈɔ	w	0.067
ˈɛ	-	0.065
s	s_ə	0.065
s	-	0.065
p	v	0.059
ɛ	ˈi	0.056
ɛ	r_ə	0.056
ɛ	n	0.056
ɛ	k	0.056
k	ʦ	0.056
k	j	0.056
k	-	0.056
ɾ	ˈe	0.054
ɾ	-	0.054
