Galician	Latin	probability
a	a	0.399
a	ˈa	0.104
a	-	0.101
a	aː	0.101
a	ãː	0.087
a	aː_d	0.058
a	eː	0.058
b	w	0.578
b	b	0.396
d	d	0.971
e	ɛ	0.295
e	ɪ	0.239
e	eː	0.06
e	e	0.057
e	ae̯	0.054
e	au̯	0.054
e	oː	0.053
f	f	0.969
i	iː	0.293
i	ɪ	0.222
i	ɛ	0.186
i	ˈiː	0.094
i	eː	0.093
i	-	0.053
j	k	0.421
j	i	0.216
j	ɪ	0.094
j	ɛ̃ː	0.064
j	-	0.059
j	ˈaː	0.05
k	k	0.856
k	kʷ	0.109
l	ɫ	0.419
l	lʲ	0.266
l	l	0.182
m	m	0.902
m	-	0.098
n	n	0.866
n	ŋ	0.078
o	ɔ	0.381
o	oː	0.255
o	ʊ	0.095
o	ˈɔ	0.09
o	ˈoː	0.066
o	-	0.062
p	p	0.971
r	r	0.954
s	s	0.937
s	-	0.053
t	t	0.918
u	ɔ	0.563
u	ˈuː	0.289
u	uː	0.148
v	w	1.0
w	-	0.342
w	ɫ	0.323
w	oː	0.175
w	ʊ	0.105
w	aː	0.055
ð	t	0.802
ð	ɪ_t	0.1
ð	d	0.056
ŋ	n	0.317
ŋ	n_ʊ̃ː	0.236
ŋ	ŋ	0.197
ŋ	-	0.155
ŋ	ˈɛ̃ː	0.071
ɐ	ãː	0.749
ɐ	lʲ_ãː	0.051
ɑ	a	1.0
ɔ	ɔ	1.0
ɡ	ɡ	0.478
ɡ	k	0.296
ɡ	ɡʷ	0.216
ɣ	k	0.799
ɣ	ɡ	0.085
ɣ	kʷ	0.072
ɪ	ɛ̃ː	0.69
ɪ	ɛ̃	0.088
ɲ	n	0.673
ɲ	n_i	0.194
ɲ	n_e	0.098
ɾ	r	0.841
ɾ	ɛ_r	0.09
ɾ	-	0.052
ʃ	s	0.328
ʃ	ɡ	0.25
ʃ	j	0.15
ʃ	s_k	0.125
ʃ	-	0.069
ʃ	d_i	0.063
ʊ	ʊ̃ː	0.81
ʎ	lʲ_i	0.39
ʎ	ʊ	0.379
ʎ	-	0.162
ʎ	ɔ	0.05
ʧ	l	0.542
ʧ	p_ɫ	0.262
ʧ	f_ɫ	0.134
ˈa	ˈaː	0.483
ˈa	ˈa	0.463
ˈe	ˈɛ	0.269
ˈe	ˈeː	0.168
ˈe	ˈɪ	0.111
ˈe	-	0.077
ˈe	ɛ	0.075
ˈe	ˈiː	0.061
ˈi	ˈiː	0.627
ˈi	ˈɪ	0.1
ˈi	ɛ	0.06
ˈi	ˈi	0.056
ˈo	ˈʊ	0.332
ˈo	ˈɔ	0.224
ˈo	ˈoː	0.179
ˈo	ˈɔ_n	0.079
ˈu	ˈuː	0.639
ˈu	ˈʊ	0.264
ˈɑ	ˈaː	0.517
ˈɑ	ˈa	0.429
ˈɑ	-	0.053
ˈɔ	ˈɔ	0.75
ˈɔ	ˈoː	0.087
ˈɔ	ˈʊ	0.07
ˈɛ	ˈɛ	0.852
ˈɛ	ˈɪ	0.063
β	p	0.361
β	b	0.3
β	w	0.226
β	k	0.085
θ	k	0.746
θ	-	0.113
θ	t_i	0.076
