Provençal	Neapolitan	probability
ˈɔ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_z	ʧ	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ʧ	tː	1.0
ɾ_e	ə	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	w	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_t	j	1.0
v	v	1.0
ũ	u	1.0
s_ɔ	ʦ_ə	1.0
p_ˈe	p_ˈe	1.0
p_l	k_j	1.0
p	p	1.0
n	n	1.0
lː	ʃ	1.0
l_ˈe	l_ˈi	1.0
k_ɔ	kː_ə	1.0
k_w	k_w	1.0
j_ɾ	t_ɾ	1.0
j_s	ʃː	1.0
ĩ	i	1.0
e_s	ʃ	1.0
d_ɾ	ə_ɾ	1.0
ã	a	1.0
ɔ	ə	0.992
f	f	0.958
z	-	0.92
k	k	0.91
ˈa	ˈa	0.871
a	a	0.854
ɲ	ɲː	0.803
m	m	0.763
ˈu	ˈu	0.745
ˈy	ˈu	0.677
ʀ	ɾ	0.666
t	t	0.665
i	-	0.641
u	u	0.619
d	t	0.598
ʤ	-	0.574
ɾ	ɾ	0.574
e	ə	0.563
ˈũ	ˈu	0.549
ŋ	n	0.539
ˈẽ	ˈɛ	0.538
ɡ	ɡ	0.537
ˈe	ˈɔ	0.479
s	s	0.477
ˈɛ	ˈɛ	0.457
ˈũ	ˈo	0.451
l	l	0.444
ʤ	ʤ	0.426
d	d	0.402
w	w	0.383
b	p	0.362
i	i	0.359
t	tː	0.335
s	ʃ	0.332
ˈɛ	j_ˈɛ	0.331
ˈy	ˈu_ɾ	0.323
j	-	0.287
ɾ	r	0.281
ˈe	ˈi	0.265
ɡ	-	0.251
l	j	0.246
b	b	0.236
ˈẽ	ˈɔ	0.231
ˈẽ	ˈe	0.231
j	ʎː	0.227
l	lː	0.222
ŋ	n_t	0.218
ˈɛ	ˈe	0.212
ɡ	k	0.212
u	o	0.209
j	kː_j	0.204
ɲ	ɲ	0.197
ˈu	ˈo	0.193
j	j	0.185
m	mː	0.174
u	-	0.172
b	-	0.171
e	i	0.16
ŋ	ŋ	0.151
ˈe	ˈɛ	0.148
a	ˈa	0.146
e	-	0.144
w	lː	0.134
b	bː	0.131
w	l_ə	0.126
s	ʃː	0.124
ˈe	ˈe	0.107
w	v_ə	0.107
ɾ	-	0.104
b	v	0.1
j	ə	0.098
ʀ	r	0.097
ʀ	rː	0.094
ŋ	nː	0.092
w	-	0.092
ˈa	ˈa_ɾ	0.091
l	-	0.088
ʀ	ɾ_t	0.084
z	z	0.08
w	ˈo	0.068
k	k_w	0.068
e	e	0.066
m	-	0.062
ˈu	ˈo_ɾ	0.061
ʀ	ɾ_n	0.06
