Scots	Swabian	probability
b	b	1.0
h	h	1.0
i	-	1.0
j	j	1.0
kʰ	kʰ	1.0
tʰ	ʦ	1.0
z	s	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ˈaɪ̯	ɡ_a	1.0
ˈo	ˈɔ	1.0
ˈuː	ˈao̯	1.0
ˈɑː	ˈa	1.0
ˈʌu̯	-	1.0
k	x	0.121
m	m	0.761
v	f	0.081
ˈɛ	ˈɔe̯	0.061
ˈɪ	ˈa	0.11
ˈɪ	ˈɪ	0.161
f	f	0.892
n	n	0.932
w	ʋ	0.952
ˈe	ˈɔe̯	0.652
ˈiː	ˈiː	0.202
ˈø	ˈaː	0.602
p	f_a	0.353
t	d	0.283
ç	ç	0.313
ə	ˈi	0.243
ˈa	ˈɛ	0.113
ˈe	ˈoː	0.083
ˈeː	ˈa	0.603
ˈɛ	ˈeə̯	0.193
ˈɪ	ˈɛ	0.123
θ	d	0.933
k	ç	0.374
r	ʕ	0.4
s	s	0.624
ˈa	a_#>	0.24
ˈi	ˈɛ	0.074
ˈi	ˈoː	0.094
ˈi	ˈao̯	0.294
s	ʃ	0.335
x	ɡ	0.325
x	x	0.675
ˈa	ɡ_#>	0.155
ˈe	ˈa	0.265
ˈiː	ˈao̯	0.055
ˈiː	ˈɛː	0.085
ˈiː	a	0.175
ˈu	ˈo	0.105
ˈu	ˈao̯	0.895
ˈəi̯	ˈae̯	0.495
ˈəi̯	ˈəi̯	0.505
ˈɪ	ˈoː	0.085
ˈɪ	ˈi	0.145
d	d	0.86
l	l	0.96
r	ʌ	0.106
ˈa	ˈa	0.426
ˈi	ˈuə̯	0.096
ˈi	ˈeː	0.156
ˈiː	ˈeː	0.306
ˈɛ	ˈɛ	0.66
ˈɪ	ˈo	0.066
ˈɪ	ˈu	0.086
d	d_a	0.117
f	b	0.087
p	f	0.647
r	-	0.067
ç	x	0.687
ə	-	0.757
ˈɛ	ˈa	0.087
θ	-	0.067
k	ɡ_a	0.068
k	ɡ	0.438
n	n_a	0.068
r	ʁ	0.398
t	s_a	0.108
ˈeː	ˈaː	0.338
ˈi	ˈɔː	0.098
ˈiː	ˈae̯	0.178
ˈø	ˈuə̯	0.398
ˈɪ	ˈe	0.158
ˈʌ	ˈo	0.968
m	m_a	0.239
t	ʦ	0.149
t	s	0.459
v	b	0.919
ˈeː	ˈaː_ɡ	0.059
ˈi	ˈiə̯	0.189
