Old English	East Low German	probability
a	-	1.0
b	b	0.92
b	-	0.08
bː	b	1.0
d	d	0.474
d	t	0.357
d	ɾ	0.097
d	-	0.071
dː	ɾ	1.0
e	æ	0.671
e	-	0.289
eo̯	-	1.0
f	f	0.988
h	h	1.0
i	ɪ	0.576
i	-	0.424
iːy̯	ae̯	1.0
j	ç	0.326
j	j	0.256
j	ɡ	0.213
j	x	0.08
j	-	0.052
k	k	0.595
k	kʰ	0.327
k	f	0.057
kː	k	1.0
l	l	0.956
lː	l	1.0
l̥	l	1.0
m	m	0.939
m	-	0.061
mː	m	1.0
n	n	0.912
n	-	0.067
nː	n	1.0
o	æ	0.765
o	-	0.235
p	p	0.789
p	b	0.211
pː	p	1.0
r	æ	0.463
r	r	0.331
r	-	0.206
rː	æ	0.89
rː	ˈɔʏ̯	0.11
r̥	r	1.0
s	z	0.495
s	s	0.307
s	ʃ	0.198
t	t	0.795
t	tʰ	0.14
t	-	0.056
tː	t	1.0
v	m	0.611
v	f	0.234
v	v	0.155
w	v	0.611
w	-	0.205
w	w	0.132
w	r	0.052
x	ç	0.524
x	x	0.374
x	-	0.103
z	s	0.585
z	z	0.354
z	-	0.061
ç	x	0.778
ç	ç	0.222
ð	ɾ	0.507
ð	-	0.326
ð	n	0.167
ŋ	ŋ	0.894
ŋ	-	0.106
ɑ	-	0.977
ɡ	ɡ	0.415
ɡ	-	0.233
ɡ	k	0.173
ɡ	j	0.122
ɡ	ç	0.057
ɣ	ç	0.365
ɣ	x	0.255
ɣ	ɡ	0.208
ɣ	ŋ	0.086
ɣ	ɣ	0.086
ɫ	l	0.942
ɫ	n	0.058
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	ç	0.819
ʤ	k	0.181
ʤː	ŋ	1.0
ʧ	kʰ	0.522
ʧ	k	0.399
ʧ	ç	0.079
ʧː	k	1.0
ˈe	ˈɛ	0.464
ˈe	ˈɛː	0.12
ˈe	ˈuː	0.119
ˈe	-	0.104
ˈe	ˈoː	0.104
ˈe	ˈeː	0.067
ˈeo̯	ˈiː	0.42
ˈeo̯	ˈaː	0.245
ˈeo̯	ˈɛ	0.228
ˈeo̯	ˈœː	0.063
ˈeː	ˈɔʏ̯	0.463
ˈeː	ˈiː	0.293
ˈeː	ˈɪ	0.142
ˈeː	æ	0.052
ˈeː	ˈaʊ̯	0.05
ˈeːo̯	ˈae̯	0.462
ˈeːo̯	ˈiː	0.159
ˈeːo̯	ˈɪ	0.141
ˈeːo̯	ˈʏ	0.083
ˈi	ˈɪ	0.713
ˈi	ˈɛ	0.083
ˈiy̯	ˈa	0.544
ˈiy̯	ˈɛː	0.334
ˈiy̯	ˈɪ	0.122
ˈiː	ˈiː	0.841
ˈiː	ˈae̯	0.083
ˈiː	ˈɪ	0.077
ˈiːy̯	ˈɔʏ̯	0.399
ˈiːy̯	ˈyː	0.378
ˈiːy̯	ˈae̯	0.136
ˈiːy̯	ˈiː	0.052
ˈo	ˈuː	0.625
ˈo	ˈɔ	0.176
ˈo	ˈœː	0.144
ˈoː	ˈaʊ̯	0.609
ˈoː	ˈɒː	0.254
ˈoː	ˈɛː	0.059
ˈoː	ˈʊ	0.059
ˈu	ˈʊ	0.65
ˈu	ˈœː	0.124
ˈu	ˈɒː	0.092
ˈu	ˈɔ	0.089
ˈuː	ˈuː	0.799
ˈuː	ˈʊ	0.138
ˈy	ˈʏ	0.576
ˈy	ˈoː	0.207
ˈy	ˈøː	0.174
ˈyː	ˈɔʏ̯	0.364
ˈyː	ˈʏ	0.363
ˈyː	ˈuː	0.204
ˈyː	ˈyː	0.07
ˈæ	ˈa	0.684
ˈæ	ˈɒː	0.225
ˈæ	ˈaː	0.091
ˈæɑ̯	ˈa	0.427
ˈæɑ̯	ˈaː	0.339
ˈæɑ̯	ˈoː	0.162
ˈæː	ˈɒː	0.454
ˈæː	ˈae̯	0.275
ˈæː	ˈoː	0.186
ˈæː	ˈyː	0.077
ˈæːɑ̯	ˈaʊ̯	0.579
ˈæːɑ̯	ˈɒː	0.186
ˈæːɑ̯	ˈoː	0.125
ˈæːɑ̯	ˈœ	0.078
ˈɑ	ˈa	0.654
ˈɑ	ˈɒː	0.318
ˈɑː	ˈae̯	0.585
ˈɑː	ˈɒː	0.16
ˈɑː	ˈeː	0.116
ˈɑː	ˈɪ	0.083
ˈɑː	ˈaʊ̯	0.055
ˈɛ	ˈʏ	1.0
θ	d	0.965
