Venetian	Aragonese	probability
m	m	1.0
p	p	1.0
ˈu	ˈu	1.0
e	w	0.071
e	e	0.531
f	f_j	0.111
o	e	0.051
o	o	0.771
r	r	0.091
s	-	0.051
s	θ	0.271
t	t_j	0.051
w	w	0.891
ɲ	n	0.091
ʧ	ʎ	0.891
ˈa	ˈa	0.881
d	d	0.522
j	-	0.092
j	ʎ	0.092
l	l	0.832
r	ɾ	0.882
s	ʃ	0.092
t	j_t	0.072
v	-	0.092
ŋ	m	0.072
ŋ	n_o	0.182
ɲ	-	0.282
ˈɛ	ˈe	0.742
b	-	0.073
d	ð	0.243
j	l	0.403
s	s	0.53
ŋ	ŋ	0.183
ɰ	l	0.923
ˈi	ˈi	0.873
i	o_s	0.434
j	j	0.414
k	k	0.984
n	n	0.794
z	ʧ	0.404
ɡ	ɣ	0.574
ˈe	l_ˈe	0.114
ˈe	j_ˈe	0.144
ˈɔ	ˈo	0.344
d	-	0.235
v	b	0.535
ʤ	ʎ	0.285
ʤ	-	0.715
ˈo	ˈu	0.115
e	-	0.146
i	e	0.486
v	β	0.336
ɡ	ɡ	0.426
ˈe	ˈe	0.696
ˈo	ˈo	0.446
a	a	0.807
n	-	0.157
t	t	0.797
z	s	0.107
ɲ	ɲ	0.627
ˈɔ	ˈu	0.067
a	e	0.058
e	ˈe	0.178
i	i	0.08
l	-	0.168
o	-	0.078
t	-	0.08
ˈo	w_ˈe	0.438
ˈɔ	w_ˈe	0.588
ˈɛ	j_ˈe	0.258
a	-	0.09
b	b	0.899
f	f	0.889
w	-	0.109
z	θ	0.129
z	-	0.359
ŋ	n	0.529
ʧ	-	0.109
ˈi	j	0.069
