Occitan	Galician	probability
<#	a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ʤ	<#_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_ð	a_ð	1.0
a_β	a_β	1.0
d	ˈe	1.0
i	i	1.0
i_#>	ʊ_#>	1.0
j_#>	j_#>	1.0
j_ˈɛ	ˈe_j	1.0
k	ɣ	1.0
k_#>	k_ʊ_#>	1.0
k_ɔ	k_ɐ	1.0
l_s	l_s	1.0
m	m	1.0
m_b	m_b	1.0
p	β	1.0
r_k	ɾ_k	1.0
r_t	ɾ_t	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_ɾ	t_ɾ	1.0
z_ɔ	s_ɐ	1.0
ð	ð	1.0
ŋ_k	ŋ_k	1.0
ɔ_#>	ɐ_#>	1.0
ɡ	w	1.0
ɣ	ɣ	1.0
ɥ	-	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	ɲ	1.0
ɾ_e	ˈe_ɾ	1.0
ʎ	ɟ	1.0
ʤ	ʃ	1.0
ʧ	j_t	1.0
ʧ_#>	t_ʊ_#>	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ˈa_j	a_θ	1.0
ˈa_n	ˈa_#>	1.0
ˈa_w	ˈo_w	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈi_ɲ	1.0
ˈi_w	ˈi	1.0
ˈu_n	ˈo	1.0
ˈu_t	ˈo_ð	1.0
ˈɔ_r	ˈɔ_ɾ	1.0
ˈɛ_r	ˈɛ_ɾ	1.0
β_ɾ	β_ɾ	1.0
<#_f	<#	0.091
a	ɐ	0.231
e_#>	ɪ_#>	0.321
r	r	0.231
u	u	0.211
ɾ	r	0.061
ɾ	-	0.061
#>	ɪ_#>	0.232
<#_p	<#	0.152
l	-	0.292
l_#>	l_#>	0.292
ˈu	ˈɔ	0.182
ˈu	ˈu	0.182
#>	ŋ_#>	0.143
<#_a	<#	0.333
<#_s	<#_θ	0.303
e	o	0.083
e	-	0.083
e_#>	#>	0.393
j	j	0.3
l	ˈe	0.083
l	ɾ	0.083
l	ʧ	0.333
s	ʃ	0.263
w	β	0.833
ʦ_#>	θ_ʊ_#>	0.333
ˈe	ˈe	0.793
<#_k	<#_k	0.914
a	-	0.154
n	-	0.194
r	-	0.154
u	o	0.684
ŋ	-	0.4
ˈi	ˈi_ɣ	0.074
ˈi	ˈi_ɲ	0.074
ˈi	ˈi	0.704
ˈy	ˈu	0.824
ˈɔ	ˈɔ	0.714
a	a	0.615
e	i	0.125
l_#>	l_ʊ_#>	0.25
r	ɾ	0.615
s	p	0.105
t	-	0.105
u	-	0.105
v	β	0.5
v	v	0.5
ɔ	-	0.5
ɔ	a	0.5
ˈa	ˈa	0.745
ˈɛ	ˈe	0.355
ˈɛ	ˈɛ	0.645
β	β_o	0.25
β	β	0.75
<#_k	<#	0.086
s	θ	0.316
s	s	0.316
t	t	0.526
z	s	0.286
z	-	0.286
ŋ	ŋ_ɡ	0.6
ˈa	ˈɑ	0.176
ˈu	ˈo	0.636
ˈy	ˈo	0.176
ˈɔ	ˈo	0.286
#>	ɾ_#>	0.107
<#_a	<#_a	0.667
<#_s	<#_s	0.697
e_#>	ɾ_#>	0.107
j	-	0.7
n	n	0.677
w	l	0.167
ʦ_#>	θ_#>	0.667
#>	ʊ_#>	0.518
<#_p	<#_p	0.848
e	e	0.708
l	l	0.208
l_#>	ʊ_#>	0.458
t	ð	0.368
ˈe	ˈi	0.138
ˈi	ˈe	0.148
<#_f	<#_f	0.909
e_#>	ʊ_#>	0.179
n	ɲ	0.129
z	θ	0.429
ɾ	ɾ	0.879
ˈe	ˈɛ	0.069
