Eastphalian	Icelandic	probability
j	ɡ̊	1.0
s	s	1.0
w	v	1.0
x	-	1.0
z	s	1.0
ŋ	ŋ_ɡ̊	1.0
ɡ	ɟ̊ː	1.0
ˈaʊ̯	ˈoːu̯	1.0
ˈaː	ˈaː	1.0
ˈeː	j	1.0
ˈɔʏ̯	ˈaːi̯	1.0
k	ʰk	0.101
v	v	0.931
ə	ʏ_r̥	0.431
ʃ	s_k	0.531
ˈɒː	ˈɑːu̯	0.481
ˈɔ	ˈa	0.331
ˈɪ	ˈiː	0.11
ˈʏ	ˈai̯	0.201
ˈʏ	ˈɪ	0.41
m	m	0.692
n	nː	0.062
p	ʰp	0.362
r	r̥	0.092
t	ð_ʏ	0.072
ç	ɣ	0.302
ɐ	r̥	0.32
ˈeo̯	ˈɛːi̯	0.072
ˈiː	ˈiː	0.922
ˈɛ	ˈɛː	0.132
ˈɛɪ̯	j_ˈuː	0.062
ˈɛɪ̯	ˈɛi̯	0.112
ˈɪ	ˈi	0.352
f	f	0.803
n	n̥	0.053
t	t	0.383
ɣ	-	0.23
ˈuː	ˈʏ	0.253
ˈɛɪ̯	j	0.103
ˈɛɪ̯	j_ˈoːu̯	0.23
h	h	0.754
n	a	0.234
ˈa	r̥_#>	0.244
ˈoː	ˈɔ	0.244
ˈɒː	ˈa	0.144
ˈɛɪ̯	ˈiː	0.334
ˈɛː	ˈœ	0.364
d	θ	0.335
d	d̥	0.35
k	k	0.155
l	t_l̥	0.145
n	n	0.35
h	ç	0.246
k	-	0.066
k	cʰ	0.156
l	l	0.716
m	m_ʏ	0.26
t	ʰt	0.066
t	t_ʏ	0.136
t	tʰ	0.146
t	ð	0.16
ɐ	r	0.206
ə	a	0.526
ˈa	ˈɑu̯	0.096
ˈoː	ˈɔː	0.756
ˈʊ	ˈʏ	0.416
d	d̥_ʏ	0.087
f	v_ʏ	0.197
k	kʰ	0.277
n	-	0.187
ɣ	ɟ̊	0.07
ɣ	ɡ̊	0.7
ˈuː	ˈuː	0.747
ˈɒː	ˈɔː	0.137
ˈɛː	ˈɛː	0.167
ˈɪ	ˈɪ	0.377
ˈʊ	ˈu	0.537
b	b̥	0.988
d	ð	0.208
k	c	0.078
k	k_ʏ	0.168
l	l̥	0.138
p	p	0.638
r	r	0.908
ç	ɡ̊	0.698
ɐ	r_t	0.088
ɐ	ɪ_r̥	0.228
ˈa	ˈaː	0.068
ˈa	ˈa	0.428
ˈeo̯	ˈœːy̯	0.928
ˈiː	j_ˈɛː_r̥	0.078
ˈɛ	ˈɛ	0.868
ˈɛɪ̯	ˈɛːi̯	0.158
ˈɪ	ˈɛ	0.138
v	kʰ_v	0.069
ɐ	ʏ_r̥	0.159
ʃ	s_c	0.469
ˈɒː	ˈaː	0.239
ˈɔ	ˈʏː	0.669
ˈɛː	ˈɛ	0.469
ˈʏ	ˈʏ	0.389
