Eastphalian	Icelandic	probability
b	b̥	0.835
b	v	0.118
b	p	0.049
d	d̥	0.469
d	θ	0.308
d	ð	0.171
d	-	0.047
f	f	0.806
f	v_ʏ	0.114
f	-	0.042
f	d̥	0.036
h	h	0.801
h	ç	0.194
j	ɡ̊	0.309
j	ɟ̊	0.163
j	j	0.163
j	-	0.16
j	ɣ	0.113
k	k	0.305
k	kʰ	0.199
k	cʰ	0.119
k	x	0.078
k	-	0.078
l	l	0.586
l	l̥	0.345
l	-	0.033
l	nː	0.033
m	m	0.519
m	m_ʏ	0.223
m	a	0.136
m	p	0.074
m	-	0.042
n	n	0.401
n	a	0.293
n	nː	0.103
n	-	0.101
n	n̥	0.094
p	p	0.746
p	ʰp	0.209
p	v	0.035
r	r	0.849
r	-	0.117
r	r̥	0.039
s	s	1.0
t	t	0.485
t	-	0.155
t	ð	0.151
t	tʰ	0.099
t	ð_ʏ	0.049
t_v	tʰ	1.0
v	v	0.747
v	-	0.248
v_ˈoː	ˈɔ	1.0
w	v	0.667
w	ˈɪ	0.333
x	ʰt	0.428
x	j	0.168
x	r̥	0.112
x	ɡ̊	0.112
x	ɣ	0.108
z	s	0.884
z	r	0.063
z	v	0.049
ç	ʰt	0.337
ç	ɣ	0.293
ç	s	0.169
ç	ɡ̊	0.073
ç	r̥	0.07
ŋ	ŋ	0.774
ŋ	ɲ	0.126
ŋ	ˈuː	0.087
ŋ_k	ʰk	1.0
ɐ	r̥	0.439
ɐ	r	0.298
ɐ	ɪ	0.233
ɐ	-	0.031
ə	-	0.326
ə	a	0.271
ə	ʏ	0.242
ə	ɪ	0.08
ə	ɡ̊_a	0.043
ɡ	ɟ̊	0.219
ɣ	ɡ̊	0.396
ɣ	ɟ̊	0.331
ɣ	rː̥	0.11
ɣ	-	0.11
ɣ	ɣ	0.04
ɪ	u	0.263
ɪ	ɑu̯	0.141
ɪ	ʏ	0.123
ʃ	s_k	0.605
ʃ	s_c	0.357
ʃ	sː	0.031
ˈa	ˈa	0.467
ˈa	ˈɑu̯	0.185
ˈa	ˈɛ	0.13
ˈa	ˈaː	0.071
ˈa	ˈœ	0.047
ˈaʊ̯	ˈoːu̯	0.639
ˈaʊ̯	ˈiː	0.14
ˈaʊ̯	ˈaːi̯	0.14
ˈaʊ̯	ˈɔu̯	0.065
ˈaː	ˈaː	0.488
ˈaː	ˈa	0.28
ˈaː	ˈɑːu̯	0.164
ˈeo̯	ˈœːy̯	0.437
ˈeo̯	ˈaːu̯	0.153
ˈeo̯	ˈɑːu̯	0.108
ˈeo̯	ˈɛːi̯	0.096
ˈeo̯	ˈa	0.094
ˈeː	j	0.304
ˈeː	ˈœː	0.265
ˈeː	ˈɛː	0.175
ˈeː	ˈɑːu̯	0.105
ˈeː	ˈœ	0.102
ˈiː	ˈiː	0.714
ˈiː	ˈɛː	0.136
ˈiː	ˈɪ	0.068
ˈiː	ˈɪː	0.066
ˈoː	ˈɔː	0.268
ˈoː	ˈɔ	0.166
ˈoː	ˈœːy̯	0.156
ˈoː	ˈɪ	0.097
ˈoː	ˈi	0.091
ˈuː	ˈuː	0.647
ˈuː	ˈʏ	0.348
ˈyː	ˈʏː	0.263
ˈyː	ˈiː	0.141
ˈyː	ʏ	0.123
ˈøː	ˈʏ	0.5
ˈøː	ˈeːi̯	0.5
ˈœ	ˈou̯	0.425
ˈœ	ˈɛ	0.229
ˈœ	ˈʏ	0.123
ˈɒː	ˈaː	0.332
ˈɒː	ˈɑːu̯	0.246
ˈɒː	ˈa	0.172
ˈɒː	ˈɔː	0.13
ˈɒː	ˈɛː	0.087
ˈɔ	ˈa	0.323
ˈɔ	ˈʏː	0.213
ˈɔ	ˈʏ	0.108
ˈɔ	ˈɪ	0.072
ˈɔ	ˈɔu̯	0.05
ˈɔʏ̯	ˈaːi̯	0.561
ˈɔʏ̯	ˈai̯	0.116
ˈɔʏ̯	ˈɛːi̯	0.107
ˈɛ	ˈɛː	0.21
ˈɛ	ˈɛ	0.182
ˈɛ	ˈaː	0.105
ˈɛ	ˈɛːi̯	0.105
ˈɛ	ˈaːi̯	0.105
ˈɛə̯	ˈaː	1.0
ˈɛɪ̯	j_ˈoːu̯	0.257
ˈɛɪ̯	j	0.202
ˈɛɪ̯	ˈɛːi̯	0.172
ˈɛɪ̯	ˈɛi̯	0.127
ˈɛɪ̯	ˈiː	0.096
ˈɛɪ̯_n	j	1.0
ˈɛː	ˈɛ	0.354
ˈɛː	ˈœ	0.224
ˈɛː	ˈɛː	0.156
ˈɛː	ˈɪ	0.071
ˈɪ	ˈi	0.203
ˈɪ	ˈɪ	0.201
ˈɪ	ˈɛ	0.198
ˈɪ	ˈiː	0.154
ˈɪ	ˈɪː	0.08
ˈʊ	ˈʏ	0.418
ˈʊ	ˈu	0.372
ˈʊ	ˈoːu̯	0.193
ˈʏ	ˈai̯	0.32
ˈʏ	ˈʏ	0.211
ˈʏ	ˈɪ	0.211
ˈʏ	ˈi	0.211
ˈʏ	ˈɔ	0.034
