Fuzhounese	Fuzhounese	probability
⁵⁵	˦	1.0
⁵³	˦	1.0
⁵_#>	#>	1.0
ɥ_ŋ	ŋ	1.0
ɑ_ʔ	p̚	1.0
³³	˧˥	1.0
²⁴_#>	#>	1.0
²¹³	˥˩	1.0
w_ŋ	ŋ	1.0
w_²⁴²	o_˧˥	1.0
u_ŋ	u_n	1.0
t_ɑ	ʤ	1.0
s_a	ʃ	1.0
o_w	u	1.0
l̃	l	1.0
kʰ	kʰ	1.0
j_ŋ	ŋ	1.0
e_w	u	1.0
e	e	1.0
a_ŋ	ʌ_m	1.0
<#_ʦ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_nˡ	<#_n	1.0
nˡ	ȵ	0.8
²⁴²	˥˩	0.733
ø	ɨ	0.667
tʰ	tʰ	0.667
pʰ	pʰˠ	0.667
m	m	0.667
i	ɪ	0.667
ʔ	k̚	0.615
ʦ	ʦ	0.571
ʦʰ	ʦʰ	0.556
u	u	0.556
p	p	0.538
ŋ	n	0.511
y	ɨ_ʌ	0.5
y	ɨ	0.5
k	k	0.5
ɛ	i	0.467
w	u	0.465
ɑ	ɑ	0.455
ʦʰ	ʨʰ	0.444
ʦ	ʣ	0.429
<#	<#_ɦ	0.417
ŋ	ŋ	0.4
j	i	0.39
ʔ	t̚	0.385
s	s	0.385
h	ɦ	0.375
h	h	0.375
ɥ	u	0.333
ɥ	o	0.333
ɥ	i	0.333
ø	u	0.333
tʰ	d	0.333
t	ʈ	0.333
pʰ	pʰ	0.333
m	mˠ	0.333
<#	<#_ʔ	0.333
j	-	0.317
p	b	0.308
ɑ	æ	0.273
ɑ	-	0.273
ɛ	e	0.267
²⁴²	˧˥	0.267
ɔ	ʌ	0.25
ɔ	ɐ	0.25
t	d	0.25
k	ɡ	0.25
<#	<#_m	0.25
a	a	0.24
s	ʥ	0.231
u	ʉ	0.222
u	ɨ_u	0.222
o	ɑ	0.212
o	ɐ	0.212
nˡ	ɳ	0.2
a	ɑ	0.2
h	p_ɨ	0.188
ɔ	ə	0.167
ɔ	u	0.167
ɔ	-	0.167
t	ɖˠ	0.167
t	t	0.167
i	ʌ	0.167
i	-	0.167
w	ʉ	0.163
a	ə	0.16
s	ɕ	0.154
p	pˠ	0.154
o	u	0.152
w	ɨ	0.14
w	w	0.14
ɛ	e_i	0.133
ɛ	-	0.133
k	ɡˠ	0.125
k	kˠ	0.125
j	ɨ	0.122
o	ɨ	0.121
a	ɛ	0.12
a	e	0.12
o	ɛ	0.091
o	o	0.091
ŋ	m	0.089
t	ʈˠ	0.083
a	ʌ	0.08
a	i_æ	0.08
s	ʑ	0.077
s	ʃˠ	0.077
s	sˠ	0.077
j	ɪ	0.073
h	hˠ	0.062
o	ɑ_u	0.061
o	-	0.061
