Gothic	West Flemish	probability
a	ə	0.583
a	-	0.295
a	ɾ	0.092
a_n	n	1.0
b	b	0.796
b	-	0.1
b	f	0.079
d	d	0.718
d	t	0.214
d_s	t	1.0
e	ə	0.512
f	v	0.828
f	v_ə	0.158
f_s	f	1.0
h	-	0.546
h	h	0.268
h	ɦ	0.052
h	ŋ	0.052
h	n	0.048
h_ˈɔː	ˈoː	0.512
i	-	0.692
i	ə	0.292
i_l	l	1.0
iː	-	1.0
j	-	0.422
j	j	0.305
j	ʋ	0.175
j	ˈiə̯	0.064
k	k	0.828
k	h	0.166
k_s	s	1.0
l	l	0.787
l	-	0.156
l	w	0.059
l_i	l	0.512
l_s	l	1.0
lː	l	1.0
m	m	0.874
m	-	0.113
m_s	m	1.0
n	n	0.874
n	-	0.103
n	ɾ	0.036
n_s	n	1.0
nː	n	1.0
oː	ə	0.59
oː	-	0.266
oː	ɾ	0.11
p	p	1.0
r	ɾ	0.977
r	-	0.037
s	-	0.505
s	z	0.242
s	s	0.211
s	ʃ	0.04
s_k	s	1.0
t	t	1.0
t_a	t	1.0
t_s	t	1.0
u	-	0.548
u	ə	0.339
u	w	0.097
w	ʋ	0.71
w	-	0.129
w	ˈœ	0.085
w	w	0.073
x	ç	0.199
x	h	0.199
z	s	0.574
z	ɾ	0.294
ð	d	0.265
ð	t	0.265
ð	ɾ	0.136
ŋ	ŋ	1.0
ɔː	ə	0.512
ɡ	ɦ	0.468
ɡ	-	0.328
ɡ	ɦ_ə	0.19
ɡ_oː	ə	1.0
ɡ_s	k	0.574
ɡ_s	h	0.294
ɡʷ	-	0.263
ɡːʷ	-	1.0
ɣ	-	0.338
ɣ	ɦ	0.338
ʍ	ʋ	0.699
ʍ	-	0.16
ˈa	ˈɑ	0.56
ˈa	ˈɒː	0.217
ˈa	ˈɔ	0.064
ˈa	ˈɪ	0.048
ˈa	ˈoː	0.048
ˈa_l	ˈu	1.0
ˈeː	ˈɒː	1.0
ˈi	ˈɪ	0.394
ˈi	-	0.135
ˈi	ˈeː	0.109
ˈi	ˈæ	0.1
ˈi	ˈɛ	0.087
ˈiu̯	ˈiə̯	0.696
ˈiu̯	ˈeː	0.169
ˈiu̯	ˈyː	0.119
ˈiː	ˈi	0.562
ˈiː	ˈɛ	0.239
ˈiː	ˈiə̯	0.162
ˈiː_s	ˈi	0.263
ˈoː	ˈuə̯	0.862
ˈoː	ˈiə̯	0.1
ˈu	ˈu	0.365
ˈu	ˈøː	0.167
ˈu	ˈœ	0.11
ˈu	ˈyː	0.083
ˈu	-	0.083
ˈuː	ˈyː	0.66
ˈuː	ˈu	0.322
ˈɔ	ˈoː	0.912
ˈɔ	ˈɔ	0.082
ˈɔː	ˈoː	0.75
ˈɔː	ˈɔ	0.192
ˈɔː_h	ˈoː	1.0
ˈɔː_s	ˈoː	0.512
ˈɛ	ˈæ	0.461
ˈɛ	ˈiə̯	0.244
ˈɛ	ˈɛː	0.125
ˈɛ	ˈɛ	0.099
ˈɛː	ˈɛː	0.577
ˈɛː	ˈeː	0.134
ˈɛː	ˈiə̯	0.101
ˈɛː	ˈɛ	0.078
ˈɛː	ˈæ	0.074
β	f	0.392
β	v	0.265
β	p	0.128
θ	d	0.516
θ	t	0.382
θ	-	0.096
θ_s	t	1.0
θ_u	t	1.0
