Čakavian	Proto-Slavic	probability
âː	-	1.0
b	b	1.0
c	k_t	1.0
d	d	1.0
eː	ẽː	1.0
êː	ẽ̂ː	1.0
i	i	1.0
iː	-	1.0
îː	ɛ̂ː	1.0
ǐː	ɛ̌ː	1.0
m	m	1.0
o	o	1.0
uː	õː	1.0
ûː	ĭ̂_l	1.0
z	z	1.0
ʃ	ʒ	1.0
ʋ	v	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
a	m_ĭ	0.091
î	ǐ	0.1
k	ɡ_ŭ	0.061
n	n	0.441
ôː	ôː	0.251
s	s	0.801
t	t_ŭ	0.1
x	x_ŭ	0.181
a	ǎ	0.2
ô	o	0.102
r̩̂	r	0.742
ɡ	ĭ_#>	0.12
â	aˀ	0.163
ô	ǒ	0.373
r	r	0.883
e	e	0.884
k	k_ŭ	0.354
l	ʎ	0.134
n	n_ĭ	0.134
ʦ	-	0.514
a	ĭ	0.255
â	ǎ	0.75
ê	e	0.275
î	ɨ̌	0.125
k	k	0.585
n	n_ŭ	0.425
ô	ô	0.525
t	t_ĭ	0.295
ɡ	ɡ	0.85
ʦ	ʦ	0.315
a	a	0.286
â	-	0.086
e	ẽ	0.116
ê	ê	0.416
î	ɛ̌	0.366
l	ôː_l	0.086
p	p	0.96
t	t	0.56
l	l	0.7
r	r_ŭ	0.117
ʦ	ĭ_ʦ	0.17
l	l_ŭ	0.08
r̩̂	ĭ̌_r	0.258
a	ŭ	0.139
ê	ě	0.309
î	ɛˀ	0.409
ôː	ô	0.749
s	s_ŭ	0.199
x	x	0.819
