Palatine German	Palatine German	probability
β_ə	m	1.0
β	v	1.0
ˈɛ_r	ˈɛ_l	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɑ̃ː	-	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈɑ_l	ˈaː	1.0
ˈõː	ˈøː_n	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈɔʏ̯_n	1.0
ˈi	ˈaɪ̯_ŋ	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s	1.0
ɪ_ʃ	i	1.0
ɪ	ɪ	1.0
ɡ̊_ˈɛː	j	1.0
ɡ̊_s	s	1.0
ɑ	-	1.0
ɐ_ʣ̥	d	1.0
ŋ	ŋ	1.0
s_ə	d_n	1.0
pʰ	pʰ	1.0
n_ə	n_n	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_ə	b_m	1.0
f_#>	b_#>	1.0
f	f	1.0
eː	aɪ̯_n	1.0
d̥_ˈoː	d_ˈaʊ̯	1.0
d̥_ˈaɪ̯	d_ˈyː	1.0
b̥_#>	#>	1.0
ɐ	ɐ	0.923
n	n	0.826
r	r	0.812
ˈuː	ˈaʊ̯	0.8
d̥	d	0.8
ˈɑ	ˈa	0.76
ə	n	0.722
b̥	b	0.72
ɡ̊	ɡ	0.68
ˈoː	ˈoː	0.667
ʣ̥	tʰ	0.643
ˈɪ	ˈɪ	0.625
ˈiː	ˈaɪ̯	0.625
ʃ	ʃ	0.61
r_ə	d_n	0.6
j	-	0.6
x	ɡ	0.571
ˈu	ˈʊ	0.556
ˈaɪ̯	ˈiː	0.55
s	z	0.455
x	x	0.429
r_ə	ɐ_n	0.4
j	ʒ	0.4
ˈɛː	-	0.385
ˈɛ	-	0.381
ˈeː	ˈaɪ̯	0.364
ˈeː	-	0.364
ˈɑː	ˈoː	0.357
ˈɑː	ˈaʊ̯	0.357
ˈɔ	ˈʊ	0.333
ˈɔ	ˈɔ	0.333
ˈoː	ˈaʊ̯	0.333
ˈɛː	ˈaɪ̯	0.308
ˈɑː	ˈa	0.286
ˈu	-	0.278
ə	-	0.278
s	d	0.273
ʃ	ç	0.22
ʣ̥	d	0.214
ˈɔ	ˈaʊ̯	0.2
ˈuː	ˈɔʏ̯	0.2
ˈaɪ̯	ˈɪ	0.2
b̥	f	0.2
ˈɛ	ˈeː	0.19
ˈɪ	ˈʏ	0.188
ˈiː	ˈɔʏ̯	0.188
ˈiː	-	0.188
ˈeː	ˈɔʏ̯	0.182
s	z̥	0.182
ʃ	ɡ	0.171
ˈu	ˈɔ	0.167
ɡ̊	ç	0.16
ˈɛː	ˈoː	0.154
ˈɛː	ˈeː	0.154
ˈaɪ̯	-	0.15
ˈɛ	ˈɛ	0.143
ʣ̥	-	0.143
ˈɔ	-	0.133
ˈɪ	-	0.125
r	d	0.125
ˈɑ	ˈaʊ̯	0.12
ˈɑ	-	0.12
d̥	t	0.114
ˈaɪ̯	ˈyː	0.1
ˈɛ	ˈœː	0.095
ˈɛ	ˈœ	0.095
ˈɛ	ˈa	0.095
ˈeː	ˈɛː	0.091
d̥	-	0.086
ɡ̊	x	0.08
ɡ̊	-	0.08
b̥	-	0.08
ɐ	-	0.077
n	ˈʏ_n	0.065
n	-	0.065
ˈɪ	ˈøː	0.062
r	-	0.062
