Nynorsk Norwegian	Scots	probability
b	b	1.0
d	d	0.87
d	ð	0.09
d	θ	0.043
e	-	0.596
e	ə	0.296
e	əi̯	0.063
e	r	0.043
e_l	l	0.242
f	f	1.0
h	h	1.0
j	-	0.468
j	ɡ	0.194
j	ˈei̯	0.132
j	e	0.089
j	j	0.042
k	k	0.681
k	-	0.137
k	x	0.093
k	ʧ	0.069
kʰ	kʰ	0.625
kʰ	ʍ	0.276
kʰ	k	0.089
l	l	0.915
l	ɫ	0.057
l	-	0.036
l_e	l	1.0
lː	-	0.488
lː	d	0.209
lː	ɫ	0.111
m	m	0.941
m	v	0.06
m_j	m	1.0
mː	m	0.242
n	n	0.881
n	-	0.119
nː	n	0.441
nː	n_d	0.253
nː	θ	0.203
nː	-	0.087
p	p	1.0
pʰ	pʰ	0.492
s	s	0.878
s	z	0.062
s	s_w	0.054
s_k	ʃ	1.0
sː	s	0.119
t	t	1.0
tʰ	tʰ	0.527
tʰ	θ	0.431
tʰ	d	0.043
v	w	0.242
ç	θ	0.389
ç	t	0.157
ç	k	0.135
ç	ʧ	0.098
çː	t	0.492
ŋ	ŋ	0.324
ŋ	n	0.16
ŋː	ŋ	1.0
ɑ	-	0.909
ɑ	əi̯	0.05
ɑ	ə	0.045
ə	-	0.428
ə	ˈiː	0.051
ɛ	ə	0.492
ɡ	-	0.604
ɡ	ɡ	0.284
ɡ	j	0.046
ɡ	ç	0.045
ɡ	x	0.044
ɡ_l	l	1.0
ɡː	ɡ	1.0
ɪ	ɪ	0.242
ɲ	ŋ	0.119
ɾ	r	0.937
ɾ	-	0.047
ɾ_e	ə	1.0
ʃ	ʃ	0.506
ʃ	s	0.478
ʉ	-	0.492
ʋ	w	0.373
ʋ	-	0.289
ʋ	f	0.176
ʋ	v	0.123
ʋ	r	0.042
ʰkː	ŋ_k	0.74
ʰkː	k	0.136
ʰtː	x_t	0.82
ʰtː	x	0.179
ˈeː	ˈiː	0.324
ˈeː	ˈɑː	0.13
ˈeː	ˈəi̯	0.099
ˈeː	ˈe	0.099
ˈeː	ˈɛ	0.099
ˈiː	ˈəi̯	0.508
ˈiː	ˈɪ	0.329
ˈiː	ˈʌʉ̯	0.055
ˈiː	ˈiː	0.055
ˈiː	ˈɛ	0.043
ˈoː	j	0.168
ˈoː	ˈei̯	0.146
ˈoː	ˈe	0.111
ˈoː	ˈø	0.111
ˈoː	ˈiː	0.104
ˈuː	ˈø	0.3
ˈuː	ˈø_d	0.178
ˈuː	w	0.178
ˈuː	ˈɪ_ð	0.155
ˈuː	ˈɪ	0.109
ˈyː	ˈe	0.295
ˈyː	ˈei̯	0.251
ˈyː	ˈiː	0.154
ˈyː	ˈəi̯	0.105
ˈyː	j	0.101
ˈæ	ˈʌ	0.492
ˈæɪ̯	ˈe	0.749
ˈæɪ̯	ˈɑ	0.157
ˈæɪ̯	ˈeː	0.078
ˈæʉ̯	ˈei̯	0.335
ˈæʉ̯	ˈiː	0.179
ˈæʉ̯	ˈei̯_d	0.172
ˈæʉ̯	ˈi	0.118
ˈæʉ̯	ˈe	0.056
ˈæːɪ̯	ˈe	0.492
ˈøː	ˈiː	0.306
ˈøː	ˈɪ	0.158
ˈøː	ˈɑː	0.158
ˈøː	ˈɛ	0.115
ˈøː	ə	0.111
ˈœ	ˈɪ	0.574
ˈœ	ˈei̯	0.282
ˈœʏ̯	ˈei̯	0.629
ˈœʏ̯	ˈiː	0.361
ˈɑ	ˈɑ	0.296
ˈɑ	ˈɑː	0.229
ˈɑ	ˈɛ	0.17
ˈɑ	ˈe	0.123
ˈɑ	ˈɪ	0.071
ˈɑ_l	ˈɑː	1.0
ˈɑː	ˈe	0.32
ˈɑː	ˈeː	0.165
ˈɑː	ˈɛ	0.144
ˈɑː	ˈɔ	0.109
ˈɑː	ˈɪ	0.083
ˈɔ	ˈɔ	0.459
ˈɔ	ˈe	0.136
ˈɔ	w	0.136
ˈɔ	ˈa	0.099
ˈɔ	ˈɪ	0.096
ˈɛ	ˈɛ	0.248
ˈɛ	ˈɪ	0.184
ˈɛ	ˈe	0.16
ˈɛ	ə	0.106
ˈɛ	ˈɑ	0.081
ˈɛː	ˈɛ	0.242
ˈɪ	ˈɪ	0.727
ˈɪ	ˈəi̯	0.104
ˈɪ	ˈei̯	0.104
ˈɪ	ˈɛ	0.062
ˈʉ	ˈʉ	0.446
ˈʉ	w_ˈɔ	0.111
ˈʉ	ˈʌ	0.105
ˈʉ	ˈʌʉ̯	0.08
ˈʉ	ˈɪ	0.074
ˈʉː	ˈʉ	0.615
ˈʉː	ˈɛ	0.215
ˈʉː	ˈɔ	0.092
ˈʉː	ˈaːɪ̯	0.071
ˈʊ	ˈɔ	0.426
ˈʊ	ˈʉ	0.275
ˈʊ	ˈɪ	0.135
ˈʊ	ˈɛ	0.127
ˈʏ	ˈɪ	0.625
ˈʏ	ˈiː	0.158
ˈʏ	ˈi	0.107
ˈʏ	ˈɔ	0.076
