Gan	Gan	probability
ʨ	k	1.0
ɥ_ɵ	w_e	1.0
ɥ	-	1.0
ɛ_w	e	1.0
ɛ_n	ĩ	1.0
ɕ	s	1.0
ɔ_ʔ	o_ʔ	1.0
²	⁴	1.0
y	u	1.0
w_ɔ	ŋ̍	1.0
t	t	1.0
p	p	1.0
kʰ	kʰ	1.0
k	k	1.0
j_u	e	1.0
j_a	ẽ	1.0
h	h	1.0
e	ɯ	1.0
a_ŋ	ĩ_ã	1.0
a_w	o	1.0
a_n	a_m	1.0
a_j	a_j	1.0
<#_ŋ	<#	1.0
<#_h	<#	1.0
⁴²	³³	0.971
²⁴	⁵⁵	0.929
³⁵	⁵⁵	0.905
w	w	0.867
²¹³	⁵²	0.806
ʦʰ	ʦʰ	0.8
tʰ	tʰ	0.778
l	l	0.778
¹¹	¹¹	0.75
pʰ	p	0.75
⁵	²	0.714
ʦ	ʦ	0.714
ʔ	k̚	0.714
n	ŋ	0.708
ŋ	ŋ	0.7
z̩	i	0.667
i	i	0.6
t̚	k̚	0.533
ʨʰ	k	0.5
ɨ	u	0.5
o	o	0.5
o	a	0.5
m	m	0.5
m	b	0.5
t̚	ʔ	0.467
ɛ	a	0.444
ɔ	ɯ	0.429
ɔ	a	0.429
s	s	0.417
u	a	0.412
j	-	0.412
f	p	0.4
a	e	0.353
ʨʰ	ʦʰ	0.333
ɛ	e	0.333
z̩	a_j	0.333
nʲ	ʣ	0.333
nʲ	n	0.333
nʲ	-	0.333
<#	<#_h	0.333
ŋ	-	0.3
f	h_w	0.3
f	h	0.3
u	u	0.294
j	j	0.294
⁵	⁴	0.286
ʦ	t	0.286
ʔ	ʔ	0.286
ɵ	ɯ	0.273
ɨ	w	0.25
ɨ	i	0.25
¹¹	³⁵	0.25
s	ʦ	0.25
pʰ	pʰ	0.25
<#	<#_ɡ	0.25
<#	<#_m	0.25
a	a	0.235
ɛ	-	0.222
tʰ	t	0.222
l	n	0.222
ʦʰ	t	0.2
ɵ	ʣ_i	0.182
ɵ	ũ	0.182
ɵ	a	0.182
ɵ	-	0.182
u	o	0.176
j	a	0.176
a	u	0.176
ʨʰ	ʨʰ	0.167
s	ʦ_j	0.167
s	-	0.167
n	ã	0.167
<#	<#_ʣ	0.167
ɔ	õ	0.143
w	o	0.133
i	w_e	0.133
i	o_j	0.133
i	a	0.133
²¹³	²¹³	0.129
n	m	0.125
u	o_w	0.118
j	e	0.118
a	j_a	0.118
a	-	0.118
³⁵	²¹³	0.095
²⁴	²⁴	0.071
²¹³	³⁵	0.065
