Franco-Provençal	Québécois French	probability
f	f	1.0
p	p	1.0
s	s	1.0
y	y	1.0
ɑː	ɑ	1.0
ɔ̃	ɒ̃ʊ̯̃	1.0
ɛ̃	ã	1.0
ʦ	-	1.0
ˈy	y	1.0
u	y	0.611
ɛː	æɛ̯	0.331
ʃ	ʃ	0.81
ʎ	-	0.111
ˈa	e	0.351
ˈi	æɛ̯	0.051
ˈo	ɛ	0.061
ˈoː	œ	0.061
ˈu	øʏ̯	0.061
ˈu	ɑɔ̯	0.071
ˈø	æɛ̯	0.051
ˈø	y	0.111
ˈø	øʏ̯	0.171
ˈɛ	ɛ	0.491
d	d	0.692
k	k	0.962
ɛ	œ	0.222
ˈa	ɑ	0.072
ˈaː	e	0.282
ˈaː	a	0.402
ˈi	j	0.122
ˈo	ɥ	0.12
ˈoː	ɑɔ̯	0.362
ˈu	oʊ̯	0.072
ˈɔ	u	0.232
ˈɛː	æɛ̯	0.322
i	e	0.793
j	i	0.073
l	l	0.993
n	-	0.063
o	a	0.23
o	u	0.23
w	øʏ̯	0.143
w	ɥ	0.203
w	-	0.283
ˈe	-	0.13
ˈe	æɛ̯	0.133
ˈi	i	0.653
ˈu	u	0.383
ˈɑː	e	0.093
ˈɑ̃	ã	0.63
ˈɔ	ɔ	0.643
ˈɛː	œ	0.073
a	a	0.954
d	ʣ	0.274
e	-	0.154
e	e	0.754
o	ẽɪ̯̃	0.244
t	t	0.834
w	w	0.274
z	-	0.064
ə	œ	0.504
ɲ	ɲ	0.844
ʎ	j	0.614
ʒ	ʒ	0.944
ˈi	ɪ	0.174
ˈo	ɔ	0.154
ˈu	y	0.314
ˈɑː	oʊ̯	0.074
ˈɑː	a	0.084
ˈɑː	æɛ̯	0.454
ˈɔ̃	œ̃ʏ̯̃	0.144
ˈɛ	j	0.064
ˈɛ	ɑɔ̯	0.104
ˈɛ̃	ẽɪ̯̃	0.544
ĩ	ẽɪ̯̃	0.5
ĩ	ã	0.5
j	-	0.325
m	m	0.975
u	w	0.345
ɔ	-	0.185
ɔ	ɔ	0.815
ə	j	0.185
ʁ	ʁ	0.965
ʎ	l	0.275
ˈa	a	0.235
ˈaː	æɛ̯	0.315
ˈĩ	ã	0.225
ˈĩ	ẽɪ̯̃	0.775
ˈoː	o	0.055
b	ʃ	0.066
e	æɛ̯	0.06
j	e	0.166
t	ʦ	0.076
v	v	0.906
z	z	0.936
ɲ	n	0.156
ʒ	-	0.056
ˈe	ɪ	0.186
ˈo	u	0.506
ˈɑː	ɑ	0.296
ˈɔ̃	ɒ̃ʊ̯̃	0.856
ˈɛ	æɛ̯	0.166
i	i	0.207
j	j	0.437
n	n	0.937
ð	ʒ	0.297
ʃ	s	0.167
ˈe	oʊ̯	0.117
ˈoː	-	0.067
ˈoː	u	0.157
ˈɑ̃	ẽɪ̯̃	0.37
ˈɛ	-	0.097
o	œ	0.248
ɛ	æɛ̯	0.778
ɡ	ɡ	0.958
ˈa	æɛ̯	0.328
ˈe	e	0.068
ˈe	œ	0.068
ˈø	aœ̯	0.218
ˈɛː	ɛɪ̯	0.068
ˈɛ̃	ã	0.428
b	b	0.899
ð	ʁ	0.679
ə	i	0.279
ɛː	ɛ	0.669
ˈe	ɛ	0.19
ˈoː	oʊ̯	0.259
ˈø	ɑɔ̯	0.359
ˈɛː	ɛ	0.469
