Swabian	Old High German	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈuo̯	1.0
ˈɔe̯	ˈei̯	1.0
ˈɔ	ˈo	1.0
ˈuː	ˈuo̯	1.0
ˈuə̯	ˈuo̯	1.0
ˈeə̯	-	1.0
ʕ_n	r_n	1.0
ʕ	r	1.0
ʋ	w	1.0
ʁ	r	1.0
ɪ	ɑ	1.0
ɡ_ʁ	ɡ_r	1.0
ɡ_s	x_s	1.0
t	t	1.0
kʰ	kʰ	1.0
j	j	1.0
i	i_ŋ	1.0
h	h	1.0
eə̯	ɛ_h	1.0
e	ɑ	1.0
b̥͡f	p͡f	1.0
f	f	0.973
b	b	0.971
l	l	0.967
m	m	0.921
ˈa	ˈɑ	0.902
ˈe	ˈi	0.818
ɡ	ɡ	0.814
ŋ	ŋ_ɡ	0.792
ˈu	ˈu	0.778
ˈi	ˈi	0.778
ʦ	ʦ	0.774
ˈəi̯	ˈiː	0.714
ˈiə̯	ˈio̯	0.714
ˈaː	ˈɑ	0.7
ˈao̯	ˈuː	0.685
n	n	0.683
d	t	0.668
ˈɔː	ˈɑː	0.638
ˈɛː	ˈɛ	0.63
s	s	0.624
ç	x	0.602
ˈiː	-	0.567
x	x	0.56
a	ɑ_n	0.54
ʃ	s	0.507
ˈo	ˈo	0.506
ʃ	s_k	0.493
ˈeː	-	0.459
ˈɛ	ˈɛ	0.454
ˈoː	ˈoː	0.44
x	xː	0.44
ˈiː	ˈi	0.433
ç	xː	0.398
ʌ	ɑ_r	0.373
ˈɛː	-	0.37
ˈo	ˈu	0.37
ˈɔː	ˈɑ	0.362
ˈao̯	ˈou̯	0.315
d	d	0.307
ˈaː	ˈɑ_n	0.3
ʌ	r	0.294
ˈəi̯	ˈiu̯	0.286
ˈiə̯	ˈuo̯	0.286
ˈoː	ˈo	0.284
ˈoː	-	0.276
ˈeː	ˈɛ	0.271
ˈeː	ˈoː	0.271
ˈae̯	ˈiu̯	0.259
a	e_n	0.248
ʦ	ʦː	0.226
ˈu	-	0.222
s	s̻	0.213
ŋ	ŋ	0.208
ˈae̯	ˈiː	0.206
ˈae̯	-	0.199
ˈae̯	ˈeː	0.196
ʌ	r_i	0.196
ˈɛ	ˈe	0.183
ˈe	-	0.182
s	s̻ː	0.163
n	nː	0.156
ˈɛ	ˈɑ	0.148
ˈɛ	ˈi	0.143
ˈae̯	ˈei̯	0.14
ʌ	ɛ_r	0.136
ˈo	-	0.124
ˈi	ˈu	0.111
ˈi	ˈio̯	0.111
n	ˈu_n	0.109
ɡ	kː	0.099
ˈa	-	0.098
a	n	0.089
m	mː	0.079
ˈɛ	-	0.072
n	ˈɑː	0.053
