Corsican	Portuguese	probability
c	ʎ	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
nː	n	1.0
o	ɔ	1.0
sː	j	1.0
v	v	1.0
w	w	1.0
ŋ	-	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʎ	ʎ	1.0
ʦ	s	1.0
ʦː	s	1.0
ʧ	s	1.0
i	j	0.211
m	m	0.931
r	ʁ	0.091
r	-	0.141
u	-	0.101
ˈa	ˈa	0.31
ˈe	ˈe	0.361
ˈi	ˈi	0.81
a	ɐ	0.912
b	b	0.862
j	ʃ	0.22
j	-	0.232
l	ɫ	0.152
n	n	0.42
p	p	0.732
s	i_ʃ	0.12
e	ˈe	0.063
s	s	0.673
tː	j_t	0.313
ɟ	-	0.383
ɡ	ɡ	0.743
ˈɔ	ˈɔ	0.293
ˈɛ	ˈɐ_j	0.113
e	ɐ	0.134
l	l	0.544
ˈo	ˈo	0.784
ˈu	ˈu	0.894
d	d	0.535
i	i	0.105
k	-	0.075
n	-	0.395
t	ð	0.385
t	t	0.535
ˈa	ˈa_ɾ	0.145
ˈe	ˈɐ	0.245
ˈe	ˈɛ	0.395
ˈi	ˈĩ	0.155
ˈɛ	ˈɐ	0.095
a	-	0.06
d	ð	0.056
e	u	0.06
e	-	0.206
i	ɨ	0.436
k	ɣ	0.266
l	-	0.276
ˈa	ˈɐ	0.226
ˈa	ˈɐ̃	0.266
ˈu	ˈo	0.106
ˈɛ	ˈi	0.066
s	ʃ	0.207
tː	t	0.687
ɟ	ʒ	0.617
ɡ	ɣ	0.257
b	v	0.138
e	ɨ	0.478
i	-	0.248
j	j	0.548
p	β	0.268
r	ɾ	0.768
t	-	0.08
ˈo	ˈu	0.068
ˈo	ˈɔ	0.148
ˈɔ	u	0.128
ˈɛ	ˈɛ	0.268
ˈɛ	ˈe	0.458
d	-	0.409
k	k	0.659
m	-	0.069
n	ɲ	0.149
u	u	0.769
ˈɔ	ˈo	0.579
