Bavarian	Bavarian	probability
ˈʏ	ˈʏ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː	1.0
ˈɒ	ˈɒ	1.0
ˈuɐ̯	ˈuɐ̯	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈoɐ̯	ˈoɐ̯	1.0
ˈou̯	ˈou̯	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈiɐ̯	ˈiɐ̯	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈeɐ̯	ˈeɐ̯	1.0
ˈe	ˈe	1.0
ˈaː	ˈaː	1.0
ˈau̯	ˈau̯	1.0
ˈai̯	ˈai̯	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ə	ə	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
ç	ç	1.0
x	x	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p͡f	p͡f	1.0
p	p	1.0
n_a	n_a	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d̥_n	d̥_n	1.0
d̥	d̥	1.0
b̥	b̥	1.0
a	a	1.0
