Occitan	Romansch	probability
a	ə	1.0
m	m	1.0
p	p	1.0
y	i	1.0
ð	d	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
e	i	0.301
f	f_j	0.061
j	j	0.331
k	k	0.311
u	o	0.161
ɥ	-	0.551
ɾ	-	0.141
ʤ	ʥ	0.671
ʦ	ʦ	0.081
ˈe	e	0.071
ˈɔ	ˈu	0.121
β	-	0.071
w	-	0.062
ɣ	-	0.482
ʤ	-	0.102
ʧ	ʨ	0.892
ˈe	ˈa	0.092
ˈi	ˈi_n	0.082
ˈy	ˈiː_r	0.052
ˈy	ˈuː	0.062
ˈɔ	ˈɔ	0.422
ˈɛ	ˈɛ	0.62
j	ˈeː	0.133
n	n_t	0.073
z	-	0.273
ɔ	-	0.113
ʤ	ʃ	0.083
ˈu	ˈu	0.73
ˈy	ˈi	0.293
ˈy	ˈu	0.433
s	ʃ	0.054
w	f	0.174
ʤ	d	0.144
e	ə	0.605
k	ʨ	0.675
l	l	0.815
n	n	0.885
t	t	0.805
ˈe	ˈɛ	0.055
ˈi	ˈiː	0.715
β	v	0.85
d	d	0.966
j	-	0.536
s	ʧ	0.146
w	v_ə	0.136
ˈa	ˈɔ	0.166
ˈa	ˈa	0.356
ˈe	ˈeː	0.06
ˈu	ˈu_n	0.06
ˈy	ˈiː	0.16
b	b	0.97
z	ʃ	0.727
ɔ	ə	0.887
ˈa	ˈaː_r	0.157
ˈi	ˈi	0.157
ˈɔ	ˈɔː	0.457
l	ʎ	0.158
r	r	0.958
t	t_ə	0.078
t	-	0.118
w	w	0.628
ɣ	ɡ	0.518
ʧ	ʦ	0.108
ˈa	ˈa_w	0.098
ˈa	ˈaː	0.138
ˈe	ˈe	0.198
ˈe	ˈa_j	0.498
ˈɛ	-	0.068
ˈɛ	ˈiə̯	0.148
e	ə_r	0.069
f	f	0.939
s	s	0.759
u	u	0.839
v	v	0.99
ɥ	j	0.449
ɾ	r	0.859
ʦ	ʃ	0.919
ˈu	ˈuː	0.149
ˈɛ	ˈɛː	0.079
β	w	0.079
