Eastern Lombard	Eastern Lombard	probability
ˈɔ_r	ɾ_ˈo	1.0
ˈø_l	ɭː	1.0
ˈø_k	ˈo_ɣ	1.0
ˈu_r	ˈɔ_ɾ	1.0
ˈi_f	ˈi_ɾ	1.0
ˈa_t	ˈa_ð	1.0
ˈa_#>	ˈa_i_#>	1.0
ø	-	1.0
w	w	1.0
u	ɔ	1.0
t_#>	#>	1.0
r_ˈɛ	ɾ_ˈi	1.0
r_n	r	1.0
p_#>	p_u_z_ŭ_#>	1.0
m	m	1.0
l_a	l_a	1.0
l_#>	#>	1.0
i	i	1.0
e_#>	i_#>	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈu	<#_b_ˈɔ	1.0
<#_ˈe	<#_b_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
n	n	0.92
p	p	0.897
a	a	0.889
b	b	0.882
k	k	0.867
ˈa	ˈa	0.865
z	ʤ	0.818
f	f	0.793
ˈy	ˈu	0.778
t	t	0.775
ˈo	ˈu	0.643
ʋ	b	0.6
ŋ	ŋ	0.6
r	ɾ	0.569
<#	<#_a	0.562
s	s	0.559
#>	u_#>	0.545
ʤ	ʤ	0.5
ʤ	ɣ	0.5
ɲ	n_ʤ	0.5
d	d	0.5
o	u	0.471
ɡ	ɡ	0.467
l	l	0.467
ˈø	ˈu	0.45
ˈɔ	ˈɔ	0.438
<#	<#_b	0.438
ˈɛ	ˈɛ	0.433
ˈi	ˈi	0.414
ʋ	-	0.4
ŋ	nː	0.4
#>	i_#>	0.38
ˈɔ	ˈo	0.375
ɲ	nː	0.375
ˈɛ	ˈe	0.367
ˈø	ˈɔ	0.35
ˈe	ˈɛ	0.348
ɡ	ɣ	0.333
ˈu	ˈɔ	0.312
e	i	0.278
e	e	0.278
ʧ	ɣ	0.273
j	ɾ	0.267
ˈe	ˈɛ_n	0.261
ˈu	ˈu	0.25
l	ɖː	0.233
d	ð	0.227
ˈy	ˈu_n	0.222
e	a	0.222
ˈe	ˈe	0.217
r	r	0.216
ˈo	ˈɔ	0.214
ˈi	ˈi_n	0.207
ˈɛ	ˈi	0.2
ˈø	ˈo	0.2
ɡ	-	0.2
j	ɭː	0.2
j	j	0.2
j	i	0.2
ˈɔ	ˈu	0.188
ˈu	ˈɔ_n	0.188
ʧ	ʧ	0.182
ʧ	ɔ_z	0.182
ʧ	t_i	0.182
ʧ	k_ɾ	0.182
z	ʒ	0.182
d	-	0.182
o	-	0.176
ˈe	ˈi	0.174
e	ɛ	0.167
t	ð	0.15
ˈo	-	0.143
ˈi	ˈi_ɾ	0.138
r	ɾ_u	0.137
ˈa	ˈa_n	0.135
l	-	0.133
j	ˈi	0.133
ˈu	ˈo_n	0.125
ˈu	ˈo	0.125
ɲ	ɲ	0.125
s	ʧ	0.118
o	ˈo	0.118
o	ɔ	0.118
o	o	0.118
b	-	0.118
ˈi	i	0.103
s	ʃ	0.103
p	p_ɾ	0.103
f	u	0.103
f	i	0.103
l	ɭː	0.1
d	i	0.091
s	ʒ_i	0.088
n	n_a	0.08
t	-	0.075
ˈi	ˈɛ	0.069
ˈi	i_ɾ	0.069
l	ɾ	0.067
e	ă	0.056
a	u	0.056
