German	Swabian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_ʋ	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʁ	<#_ʁ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaɪ̯	<#_ˈɔe̯	1.0
<#_ˈaʊ̯	<#_ˈao̯	1.0
<#_ˈoː	<#_ˈoː	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɪ	<#_ˈi	1.0
b	b	1.0
b̥	b_#>	1.0
d	d	1.0
d̥	d_#>	1.0
f_#>	f_#>	1.0
f_n	f_a	1.0
k	ɡ	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ˈuː	l_ˈuə̯	1.0
m_#>	m_#>	1.0
p	b	1.0
p͡f	b̥͡f	1.0
s	s_#>	1.0
s_n	s_a	1.0
s_t	ʃ_d	1.0
t_ɐ	d_ʌ	1.0
v	ʋ	1.0
z	s	1.0
ç_t	ç_d	1.0
ŋ_#>	ŋ_#>	1.0
ɐ_n	ʕ_n	1.0
ə	-	1.0
ə_#>	e_#>	1.0
ɡ_n	ɡ_a	1.0
ɡ̊	ɡ_#>	1.0
ɪ_ç	ɪ_ɡ	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦ_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈaʊ̯	ˈao̯	1.0
ˈaʊ̯_#>	ˈao̯_#>	1.0
ˈaː_ɡ	ˈaː_ɡ	1.0
ˈeː_b	ˈɛː_b	1.0
ˈiː_ɐ	ˈiː_ʕ	1.0
ˈoː	ˈoː	1.0
ˈoː_t	ˈoː_d	1.0
ˈuː_#>	ˈuə̯_#>	1.0
ˈøː	ˈeː	1.0
ˈɔ_l	ˈo_l	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_ɐ	ˈɛ_ʕ	1.0
ˈɛː	ˈɛː	1.0
ˈʊ_n	ˈo_n	1.0
ˈʏ	ˈu	1.0
n	ˈaː	0.1
x	x_#>	0.571
ˈuː	ˈuə̯	0.571
n_#>	#>	0.302
t	t_#>	0.12
ʁ	ʁ	0.92
ˈaɪ̯	ˈae̯	0.2
ˈiː	ˈi	0.222
ˈɔ	ˈo	0.462
ˈa	-	0.133
ˈaː	ˈa	0.143
ˈiː	ˈiː	0.333
t	d	0.24
t	d_#>	0.64
ŋ	ŋ	0.714
ɐ	ʌ_#>	0.594
ˈaɪ̯	ˈɔe̯	0.44
ˈiː	ˈiə̯	0.444
ˈyː	ˈi	0.4
ˈɔʏ̯	ˈəi̯	0.444
m	m_#>	0.25
m	m	0.75
ç	ɡ	0.375
ç	ç_#>	0.625
ɐ	ʕ	0.25
ˈaː	ˈɔː	0.5
ˈeː	ˈae̯	0.25
ˈeː	ˈɛː	0.25
ˈeː	ˈeː	0.5
ˈɪ	-	0.095
ˈʊ	ˈo	0.375
ˈʊ	ˈu	0.625
ŋ	ŋ_#>	0.286
ɐ	ʕ_#>	0.156
ˈaɪ̯	ˈəi̯	0.36
ˈyː	ˈiə̯	0.6
ˈɔʏ̯	ˈae̯	0.556
ˈɪ	ˈi	0.476
ˈa	ˈa	0.867
ˈaː	ˈaː	0.357
n_#>	a_#>	0.698
ʁ	-	0.08
ˈɔ	ˈɔ	0.538
ˈɪ	ˈe	0.238
n	n	0.9
x	x	0.429
ˈuː	ˈuː	0.429
ˈɪ	ˈɪ	0.19
